PflId,FtpId,LogId,LogArq,LogDsc,LogDta
162,1,1211,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-19 14:05:02
162,1,1211,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-19 14:05:02
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,65,Geral,Conectado OK a 200.182.6.117 com usuário correios,2016-02-10 15:05:01
162,1,65,Geral,Conectado OK a 200.182.6.117 com usuário correios,2016-02-10 15:05:01
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,77,Geral,Conectado OK a 200.182.6.117 com usuário correios,2016-02-10 17:05:01
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,54,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 13:50:14
162,1,78,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 17:05:01
162,1,84,CON100217441.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,85,CON100217491.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,85,CON100217491.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,85,CON100217491.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,87,CON100217591.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,88,CON100218041.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,88,CON100218041.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,89,DupE_SEDEX_242796_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,90,DupPAC_242739_20160205165947.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,90,DupPAC_242739_20160205165947.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,90,DupPAC_242739_20160205165947.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,91,DupPAC_242749_20160210083032.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,92,DupPAC_242798_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,92,DupPAC_242798_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,91,DupPAC_242749_20160210083032.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,91,DupPAC_242749_20160210083032.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,93,DupSEDEX_242742_20160210081827.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,96,E_SEDEX_242796_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,59,Geral,Conectado OK a 200.182.6.117 com usuário correios,2016-02-10 14:05:02
162,1,59,Geral,Conectado OK a 200.182.6.117 com usuário correios,2016-02-10 14:05:02
162,1,72,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 16:05:02
162,1,101,SEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,78,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 17:05:01
162,1,114,SEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 19:05:03
162,1,94,DupSEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,95,E_SEDEX_242752_20160210083431.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,112,DupSEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 19:05:03
162,1,112,DupSEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 19:05:03
162,1,111,CON100218140.TXT,Apagar Indesejado,2016-02-10 19:05:03
162,1,112,DupSEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 19:05:03
162,1,93,DupSEDEX_242742_20160210081827.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,94,DupSEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,94,DupSEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,95,E_SEDEX_242752_20160210083431.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,91,DupPAC_242749_20160210083032.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,92,DupPAC_242798_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,101,SEDEX_242794_20160210120728.TXT,Apagar Indesejado,2016-02-10 18:05:01
162,1,102,Arquivos Enviados 0,Qtde de arquivos enviados nesta rodada: 0,2016-02-10 18:05:01
162,1,109,Geral,Conectado OK a 200.182.6.117 com usuário correios,2016-02-10 19:05:03
