ID,nome,title
21,\xd3ptica e Instrumenta\xe7\xe3o,"Limpeza de \xf3culos, arma\xe7\xf5es, lentes, tele-objetivas, sens\xedveis instrumentos de medi\xe7\xe3o, etc."
11,Auto-mec\xe2nica,"Limpeza de bicos injetores, caixas de dire\xe7\xe3o, engrenagens, rolamentos, pist\xf5es, blocos de motor, entre outros."
15,Inform\xe1tica e Eletr\xf4nica,"Desentupimento e limpeza de cartuchos e cabe\xe7as de impressoras e plotters a jato de tinta, mecanismos de impressoras fiscais, placas eletr\xf4nicas, contatos el\xe9tricos, rel\xe9s, etc."
14,"Industrial, Aeron\xe1utica, Naval, Militar","Limpeza de pe\xe7as em geral, engrenagens, rolamentos, eixos, mecanismos, tubula\xe7\xf5es, conex\xf5es, fieiras, filtros, remo\xe7\xe3o de \xf3leos, graxas, res\xedduos de usinagem, ceras, massas, oxida\xe7\xf5es, res\xedduos em moldes, etc."
18,Laboratorial e Controle de qualidade,"Limpeza de instrumentos, desgazeifica\xe7\xe3o, dissolu\xe7\xe3o de amostras, testes de sujidades, etc."
12,Cartuchos de Impressora e Marcadores Industriais,"Desentupimento de cartuchos de impressoras jato de tinta,cabe\xe7as de marcadores industriais."
19,"Motosserras, Ro\xe7adeiras","Limpeza de carburadores de motosserras, ro\xe7adeiras"
16,Injetores Diesel / Common rail / Bombas de alta press\xe3o,"Limpeza de injetores Diesel, sistemas Common Rail e bombas de alta press\xe3o"
17,"Joalherias, Relojoarias, Prot\xe9ticos",Limpeza de j\xf3ias
13,Fornitura - fabrica\xe7\xe3o,Remo\xe7\xe3o de massas de polimento e limpeza geral.
22,Todos os modelos,Linha Geral

