id,id_evento,id_rastreamento
1851,1,28
1852,2,28
1853,3,28
1854,4,28
1855,5,28
1856,6,28
1857,7,28
1858,8,28
1859,9,28
1860,10,28
1861,11,28
1862,12,28
1863,13,28
1864,14,28
1865,15,28
1866,16,28
1867,17,28
1868,18,28
1869,19,28
1870,20,28
1871,21,28
1872,22,28
1873,23,28
1874,24,28
1875,25,28
1876,26,28
1877,27,28
1878,28,28
1879,29,28
1880,30,28
1881,31,28
1882,32,28
1883,33,28
1884,34,28
1885,35,28
1886,36,28
1887,37,28
1888,38,28
1889,39,28
1890,40,28
1891,41,28
1892,42,28
1893,43,28
1894,44,28
1895,45,28
1896,46,28
1897,47,28
1898,48,28
1899,49,28
1900,50,28
1901,51,28
1902,52,28
1903,53,28
1904,54,28
1905,55,28
1906,56,28
1907,57,28
1908,58,28
1909,59,28
1910,60,28
1911,61,28
1912,62,28
1913,63,28
1914,64,28
1915,65,28
1916,66,28
1917,67,28
1918,68,28
1919,69,28
1920,70,28
1921,71,28
1922,72,28
1923,73,28
1924,74,28
1925,75,28
1926,76,28
1927,77,28
1928,78,28
1929,79,28
1930,80,28
1931,81,28
1932,82,28
1933,83,28

