PdtIdx,UsrIdx,idDownload,AgeLib,SrvIpx,UsrNom,SrvUrl,DboNom,AgeNom,CodSto,DboTip
1,CRUZADMIN,1,1,172.31.37.250,Administrador da ACF CRUZEIRO NOVO,acfdf.postal.net.br,acfdf,CRUZEIRO BRASILIA,10900691,2
1,ASASADMIN,2,1,172.31.37.250,Administrador da ASA SUL 514,acfdf.postal.net.br,acfdf,ASA SUL 514,10900799,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,MARAADMIN,4,1,172.31.37.250,Administrador da ACF MARAPONGA,www.postal.net.br,acfsp_10012017,MARAPONGA,12900028,2
1,PAJEADMIN,5,1,172.31.37.250,Administrador da AGF PAJEU,ce.postal.net.br,acfce,PAJEU,12900044,2
1,MISSADMIN,6,1,172.31.37.250,Administrador da MISSIONARIAS,ce.postal.net.br,acfce,MISSIONARIAS,12900061,2
1,ESUNADMIN,7,1,172.31.37.250,Administrador da ACF ESTADOS UNIDOS,agfmeireles.postal.net.br,acfestadosunidos,MEIRELES,12900079,2
1,CLOVADMIN,8,1,172.31.37.250,Administrador da CLOVIS BEVILAQUA,ce.postal.net.br,acfce,CLOVIS BEVILAQUA,12900133,2
1,BEZEADMIN,9,1,172.31.37.250,Administrador da AGF BEZERRA DE MENEZES,ce.postal.net.br,acfce,BEZERRA DE MENEZES,12900150,2
1,AGNBADMIN,10,1,172.31.37.250,Administrador da ACF,agfjosebonifacio.postal.net.br,acfaguanambi,JOSE BONIFACIO,12900176,2
1,MZLCADMIN,11,1,172.31.37.250,Administrador da MOZART LUCENA,ce.postal.net.br,acfce,MOZART LUCENA,12900231,2
1,DINDADMIN,12,1,172.31.37.250,Administrador da ACF DISTRITO INDUSTRIAL,agfmendel.postal.net.br,acfdistritoindustrial,DR MENDEL STEINBRUCH,12900257,2
1,LARAADMIN,13,1,172.31.37.250,Administrador da LARANJEIRAS,es.postal.net.br,acfes,PARQUE LARANJEIRAS,14901412,2
1,mbadmin,14,1,172.31.37.250,Administrador ACF Monte Belo,www.postal.net.br,acfsp_10012017,AVENIDA VITORIA,14901455,2
1,GOIABEIRAS,15,1,172.31.37.250,Administrador da ACF,www.acfgoiabeiras.com.br,acfgoiabeiras,FERNANDO FERRARI,14901463,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,BRASADMIN,3,1,172.31.37.250,Administrador da ACF SAA,acfdf.postal.net.br,acfdf,SAAN,10900934,2
1,MUQBADMIN,16,1,172.31.37.250,Administrador da ACF MUQUIÇABA,es.postal.net.br,acfes,BAIRRO MUQUICABA,14901471,2
1,MUQBADMIN,16,1,172.31.37.250,Administrador da ACF MUQUIÇABA,es.postal.net.br,acfes,BAIRRO MUQUICABA,14901471,2
1,ESPLADMIN,17,1,172.31.37.250,Administrador da ACF ESPLANADA,www.acfesplanada.com.br,acfesplanada,PRACA GETULIO VARGAS,14901528,2
1,ESPLADMIN,17,1,172.31.37.250,Administrador da ACF ESPLANADA,www.acfesplanada.com.br,acfesplanada,PRACA GETULIO VARGAS,14901528,2
1,AVENADMIN,18,1,172.31.37.250,Administrador da ACF AVENIDA REPUBLICA,www.postal.net.br,acfsp_10012017,PARQUE MOSCOSO,14901625,2
1,AVENADMIN,18,1,172.31.37.250,Administrador da ACF AVENIDA REPUBLICA,www.postal.net.br,acfsp_10012017,PARQUE MOSCOSO,14901625,2
1,JALIADMIN,19,1,172.31.37.250,Administrador da AGF LIMOEIRO,es.postal.net.br,acfes,LIMOEIRO,14901633,2
1,JALIADMIN,19,1,172.31.37.250,Administrador da AGF LIMOEIRO,es.postal.net.br,acfes,LIMOEIRO,14901633,2
1,QUATROADMIN,20,1,172.31.37.250,Administrador da ACF,www.postal.net.br,acfsp_10012017,PRACA DO BANDEIRANTE,16900197,2
1,QUATROADMIN,20,1,172.31.37.250,Administrador da ACF,www.postal.net.br,acfsp_10012017,PRACA DO BANDEIRANTE,16900197,2
1,DUNSADMIN,21,1,172.31.37.250,Administrador da ACF DUNAS,pb.postal.net.br,acfpb,COHAMA,18900071,2
1,DUNSADMIN,21,1,172.31.37.250,Administrador da ACF DUNAS,pb.postal.net.br,acfpb,COHAMA,18900071,2
1,NOVAADMIN,22,1,172.31.37.250,Administrador da ACF CIDADE NOVA,www.acfcidadenova.com.br,acfcidadenova,JOSE CANDIDO,20900031,2
1,NOVAADMIN,22,1,172.31.37.250,Administrador da ACF CIDADE NOVA,www.acfcidadenova.com.br,acfcidadenova,JOSE CANDIDO,20900031,2
1,PLANADMIN,23,1,172.31.37.250,Administrador da ACF PLANALTO,www.agenciaplanalto.com.br,acfplanalto,DOUTOR CRISTIANO GUIMARAES,20900058,2
1,PLANADMIN,23,1,172.31.37.250,Administrador da ACF PLANALTO,www.agenciaplanalto.com.br,acfplanalto,DOUTOR CRISTIANO GUIMARAES,20900058,2
1,MELOADMIN,24,1,172.31.37.250,Administrador da ACF ALIPIO DE MELO,www.acfalipiodemelo.com.br,acfalipiodemelo,HABILIO MACHADO,20900139,2
1,MELOADMIN,24,1,172.31.37.250,Administrador da ACF ALIPIO DE MELO,www.acfalipiodemelo.com.br,acfalipiodemelo,HABILIO MACHADO,20900139,2
1,SAMOADMIN,25,1,172.31.37.250,Administrador da ACF SANTA MONICA,mg.postal.net.br,acfmg,BELARMINO COTA PACHECO,20900376,2
1,SAMOADMIN,25,1,172.31.37.250,Administrador da ACF SANTA MONICA,mg.postal.net.br,acfmg,BELARMINO COTA PACHECO,20900376,2
1,AFRDADMIN,26,1,172.31.37.250,Administrador da AFRANIO RODRIGUES,mg.postal.net.br,acfmg,AFRANIO RODRIGUES,20900392,2
1,AFRDADMIN,26,1,172.31.37.250,Administrador da AFRANIO RODRIGUES,mg.postal.net.br,acfmg,AFRANIO RODRIGUES,20900392,2
1,CARRADMIN,27,1,172.31.37.250,Administrador da ACF CARREFOUR,www.agenciacarrefour.com.br,acfcarrefour_mg,RIACHO DAS PEDRAS,20908784,2
1,CARRADMIN,27,1,172.31.37.250,Administrador da ACF CARREFOUR,www.agenciacarrefour.com.br,acfcarrefour_mg,RIACHO DAS PEDRAS,20908784,2
1,JOAOADMIN,28,1,172.31.37.250,Administrador da ACACIA,mg.postal.net.br,acfmg,JOAO MACHADO,20908903,2
1,JOAOADMIN,28,1,172.31.37.250,Administrador da ACACIA,mg.postal.net.br,acfmg,JOAO MACHADO,20908903,2
1,SVICADMIN,29,1,172.31.37.250,Administrador da ACF SAO VICENTE,mg.postal.net.br,acfmg,PAULO CHIARADIA,20908997,2
1,SVICADMIN,29,1,172.31.37.250,Administrador da ACF SAO VICENTE,mg.postal.net.br,acfmg,PAULO CHIARADIA,20908997,2
1,PESTADMIN,30,1,172.31.37.250,Administrador da ACF,agfestacaocentral.postal.net.br,acfpracadaestacao,ESTACAO CENTRAL,20909136,2
1,PESTADMIN,30,1,172.31.37.250,Administrador da ACF,agfestacaocentral.postal.net.br,acfpracadaestacao,ESTACAO CENTRAL,20909136,2
1,RODUADMIN,31,1,172.31.37.250,Administrador da ACF RODOVIARIA(UBERLAND),www.postal.net.br,acfsp_10012017,TERM ROD DE UBERLANDIA,20909322,2
1,RODUADMIN,31,1,172.31.37.250,Administrador da ACF RODOVIARIA(UBERLAND),www.postal.net.br,acfsp_10012017,TERM ROD DE UBERLANDIA,20909322,2
1,ABCADMIN,32,1,172.31.37.250,Administrador da ACF,www.correiosabc.com.br,acfabc,GETULIO VARGAS,20909331,2
1,ABCADMIN,32,1,172.31.37.250,Administrador da ACF,www.correiosabc.com.br,acfabc,GETULIO VARGAS,20909331,2
1,QUATROADMIN,20,1,172.31.37.250,Administrador da ACF,www.postal.net.br,acfsp_10012017,PRACA DO BANDEIRANTE,16900197,2
1,QUATROADMIN,20,1,172.31.37.250,Administrador da ACF,www.postal.net.br,acfsp_10012017,PRACA DO BANDEIRANTE,16900197,2
1,DUNSADMIN,21,1,172.31.37.250,Administrador da ACF DUNAS,pb.postal.net.br,acfpb,COHAMA,18900071,2
1,DUNSADMIN,21,1,172.31.37.250,Administrador da ACF DUNAS,pb.postal.net.br,acfpb,COHAMA,18900071,2
1,DUNSADMIN,21,1,172.31.37.250,Administrador da ACF DUNAS,pb.postal.net.br,acfpb,COHAMA,18900071,2
1,DUNSADMIN,21,1,172.31.37.250,Administrador da ACF DUNAS,pb.postal.net.br,acfpb,COHAMA,18900071,2
1,NOVAADMIN,22,1,172.31.37.250,Administrador da ACF CIDADE NOVA,www.acfcidadenova.com.br,acfcidadenova,JOSE CANDIDO,20900031,2
1,NOVAADMIN,22,1,172.31.37.250,Administrador da ACF CIDADE NOVA,www.acfcidadenova.com.br,acfcidadenova,JOSE CANDIDO,20900031,2
1,NOVAADMIN,22,1,172.31.37.250,Administrador da ACF CIDADE NOVA,www.acfcidadenova.com.br,acfcidadenova,JOSE CANDIDO,20900031,2
1,NOVAADMIN,22,1,172.31.37.250,Administrador da ACF CIDADE NOVA,www.acfcidadenova.com.br,acfcidadenova,JOSE CANDIDO,20900031,2
1,PLANADMIN,23,1,172.31.37.250,Administrador da ACF PLANALTO,www.agenciaplanalto.com.br,acfplanalto,DOUTOR CRISTIANO GUIMARAES,20900058,2
1,PLANADMIN,23,1,172.31.37.250,Administrador da ACF PLANALTO,www.agenciaplanalto.com.br,acfplanalto,DOUTOR CRISTIANO GUIMARAES,20900058,2
1,PLANADMIN,23,1,172.31.37.250,Administrador da ACF PLANALTO,www.agenciaplanalto.com.br,acfplanalto,DOUTOR CRISTIANO GUIMARAES,20900058,2
1,PLANADMIN,23,1,172.31.37.250,Administrador da ACF PLANALTO,www.agenciaplanalto.com.br,acfplanalto,DOUTOR CRISTIANO GUIMARAES,20900058,2
1,MELOADMIN,24,1,172.31.37.250,Administrador da ACF ALIPIO DE MELO,www.acfalipiodemelo.com.br,acfalipiodemelo,HABILIO MACHADO,20900139,2
1,MELOADMIN,24,1,172.31.37.250,Administrador da ACF ALIPIO DE MELO,www.acfalipiodemelo.com.br,acfalipiodemelo,HABILIO MACHADO,20900139,2
1,MELOADMIN,24,1,172.31.37.250,Administrador da ACF ALIPIO DE MELO,www.acfalipiodemelo.com.br,acfalipiodemelo,HABILIO MACHADO,20900139,2
1,MELOADMIN,24,1,172.31.37.250,Administrador da ACF ALIPIO DE MELO,www.acfalipiodemelo.com.br,acfalipiodemelo,HABILIO MACHADO,20900139,2
1,SAMOADMIN,25,1,172.31.37.250,Administrador da ACF SANTA MONICA,mg.postal.net.br,acfmg,BELARMINO COTA PACHECO,20900376,2
1,SAMOADMIN,25,1,172.31.37.250,Administrador da ACF SANTA MONICA,mg.postal.net.br,acfmg,BELARMINO COTA PACHECO,20900376,2
1,SAMOADMIN,25,1,172.31.37.250,Administrador da ACF SANTA MONICA,mg.postal.net.br,acfmg,BELARMINO COTA PACHECO,20900376,2
1,SAMOADMIN,25,1,172.31.37.250,Administrador da ACF SANTA MONICA,mg.postal.net.br,acfmg,BELARMINO COTA PACHECO,20900376,2
1,AFRDADMIN,26,1,172.31.37.250,Administrador da AFRANIO RODRIGUES,mg.postal.net.br,acfmg,AFRANIO RODRIGUES,20900392,2
1,AFRDADMIN,26,1,172.31.37.250,Administrador da AFRANIO RODRIGUES,mg.postal.net.br,acfmg,AFRANIO RODRIGUES,20900392,2
1,AFRDADMIN,26,1,172.31.37.250,Administrador da AFRANIO RODRIGUES,mg.postal.net.br,acfmg,AFRANIO RODRIGUES,20900392,2
1,AFRDADMIN,26,1,172.31.37.250,Administrador da AFRANIO RODRIGUES,mg.postal.net.br,acfmg,AFRANIO RODRIGUES,20900392,2
1,CARRADMIN,27,1,172.31.37.250,Administrador da ACF CARREFOUR,www.agenciacarrefour.com.br,acfcarrefour_mg,RIACHO DAS PEDRAS,20908784,2
1,CARRADMIN,27,1,172.31.37.250,Administrador da ACF CARREFOUR,www.agenciacarrefour.com.br,acfcarrefour_mg,RIACHO DAS PEDRAS,20908784,2
1,CARRADMIN,27,1,172.31.37.250,Administrador da ACF CARREFOUR,www.agenciacarrefour.com.br,acfcarrefour_mg,RIACHO DAS PEDRAS,20908784,2
1,CARRADMIN,27,1,172.31.37.250,Administrador da ACF CARREFOUR,www.agenciacarrefour.com.br,acfcarrefour_mg,RIACHO DAS PEDRAS,20908784,2
1,JOAOADMIN,28,1,172.31.37.250,Administrador da ACACIA,mg.postal.net.br,acfmg,JOAO MACHADO,20908903,2
1,JOAOADMIN,28,1,172.31.37.250,Administrador da ACACIA,mg.postal.net.br,acfmg,JOAO MACHADO,20908903,2
1,JOAOADMIN,28,1,172.31.37.250,Administrador da ACACIA,mg.postal.net.br,acfmg,JOAO MACHADO,20908903,2
1,BRAVADMIN,100,1,172.31.37.250,Administrador da ACF BARRO VERMELHO,barrovermelho.postal.net.br,acfbarrovermelho,MADUREIRA SHOPPING,50905864,2
1,encantadoadmin,101,1,172.31.37.250,Administrador da ACF,agfamarocavalcante.postal.net.br,acfencantado,AMARO CAVALCANTE,50905937,2
1,OUVIADMIN,102,1,172.31.37.250,Administrador da ACF OUVIDOR,www.postal.net.br,acfsp_10012017,PERRONE,50905953,2
1,BOTAADMIN,103,1,172.31.37.250,Administrador da ACF ESTACAO BOTAFOGO,www.postal.net.br,acfsp_10012017,PAULINO FERNANDES,50906003,2
1,LINSADMIN,104,1,172.31.37.250,Administrador da ACF LINS DE VASCONCELOS,agftorresdeoliveira.postal.net.br,acflinsdevasconcelos,TORRES DE OLIVEIRA,50906071,2
1,SAFEADMIN,105,1,172.31.37.250,Administrador da ACF SANTA FE,www.acfsantafe.com.br,acfsantafe,ARISTIDES CAIRE,50906445,2
