icone,datax,titulo,cod_sto,mensagem,cod_usuario,nr_registro
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",005850000,77
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",001470000,27
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",005180000,28
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",005480000,29
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",000110000,30
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",004410000,31
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",000850000,32
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",000220000,33
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",005270000,34
5,2013-08-23 15:13:00,Identificação das Áreas com Restrição de Entrega ,20909331,"Informamos que foi realizada no <b>Sistema de Cálculo de Prazos e preços - SCPP</b>,a atualização das informações relativas as faixas de CEP identificadas como <b>Área com Restrição para Entrega</b>,nos estados de São Paulo e Rio de Janeiro.O sistema SCPP informa para os cientes internos e externos,o prazo previsto para entrega dos objetos e as restrições para entrega,caso o CEP da localidade de destino esteja inserido em Áreas com Restrição de Entrega.O cliente com contrato pode acessar a planilha no endereço: <br />http://www.corporativo.correios.com.br ( mediante login e senha ).<br />\r\n",001450000,35
